5.2021e-07,4.3969e-27,5.21e-89,1.7441e-65,4.815e-84,2.0274e-21,1,3.8315e-61
1,7.5802e-33,1.9603e-198,6.2925e-113,6.3987e-16,1.4023e-214,4.1179e-46,9.0545e-32
2.8276e-36,1.1551e-127,2.3438e-61,1.5683e-96,4.4949e-144,2.1168e-29,1,1.2563e-139
1,1.4556e-140,3.6827e-53,0,4.1543e-111,3.9904e-46,7.9031e-79,9.0574e-62
1,9.6062e-152,3.5595e-25,6.7624e-41,5.4562e-44,1.7598e-37,8.3299e-15,8.4607e-94
0.99712,7.4979e-208,0.0028817,3.0689e-20,3.1324e-08,1.7565e-60,3.4377e-76,6.8651e-25
1.2519e-101,6.7463e-44,8.6682e-18,4.1324e-07,6.2827e-12,9.044e-35,3.3145e-163,1
1,1.6762e-129,8.4363e-29,8.2842e-38,3.9546e-28,1.4539e-95,5.7515e-14,1.4747e-40
1.1939e-122,2.5512e-15,5.5863e-59,9.6177e-14,0.99876,0.0012449,4.5659e-44,1.1499e-118
0.005832,0.99417,1.6411e-133,2.9289e-37,1.1648e-124,2.3615e-292,0,4.467e-104
1,1.6579e-37,1.0732e-57,4.8715e-19,5.1445e-72,4.4357e-185,1.2505e-130,6.7611e-48
9.6917e-41,0,9.9264e-96,1.8555e-25,3.4588e-47,1,8.0649e-07,2.2958e-130
0,1.5618e-35,6.8163e-214,8.6041e-11,1,5.1676e-69,5.1255e-57,2.4277e-40
5.7911e-53,1.3799e-65,1,2.7745e-38,1.0248e-112,1.948e-76,3.2479e-30,4.0792e-81
6.8964e-07,1.5446e-102,1.4928e-92,3.5164e-85,0.97991,0.020094,0,4.5534e-57
0.99656,0,0.0016516,5.0538e-26,3.3199e-50,0.0017901,9.1967e-124,3.6644e-44
7.9119e-167,2.7391e-152,1,1.55e-12,1.7087e-106,0,2.4904e-109,1.0198e-28
0.99374,1.0914e-201,1.9283e-31,0.0062613,1.7861e-11,6.8447e-138,2.4692e-188,4.0719e-107
1.0686e-46,1.0242e-26,2.1737e-10,5.8062e-15,1.0808e-134,2.3604e-32,1,3.6442e-155
1,0,1.6671e-77,2.6844e-224,1.2351e-06,9.7157e-136,4.2373e-104,6.2801e-18
1.625e-84,5.4294e-165,3.0332e-07,1,1.0938e-23,3.8436e-28,4.7506e-26,7.4886e-127
2.3089e-65,7.9574e-136,1,7.1874e-65,6.4259e-145,4.4361e-11,1.1196e-159,1.5478e-10
0.9652,6.115e-31,2.8036e-29,4.1212e-103,0.034805,3.5437e-38,3.2183e-156,2.9907e-18
9.3336e-13,5.9522e-41,4.368e-171,1,8.1086e-83,5.4337e-47,2.9953e-15,1.2344e-39
1.006e-36,1.3565e-92,1.7562e-06,4.8726e-18,1,2.6572e-102,2.3704e-179,6.4178e-39
4.1132e-31,1.2368e-95,3.6975e-126,0,7.5562e-182,1,1.3149e-89,1.4928e-07
7.7807e-37,1,2.2399e-35,1.0067e-13,4.7578e-31,1.0724e-215,4.3712e-258,1.5209e-67
9.1698e-144,1.4026e-09,6.8636e-91,5.4949e-23,4.5942e-131,0.54297,4.9398e-146,0.45703
7.3704e-57,4.7527e-86,3.5372e-92,1,7.4834e-27,5.5108e-67,8.1777e-64,3.9314e-76
5.3874e-317,0,5.4553e-107,5.8056e-95,1,8.8891e-35,6.2349e-158,2.9489e-59
1.6964e-145,0.0089632,6.9291e-75,3.177e-78,4.2629e-49,2.2635e-42,1.728e-26,0.99104
5.1198e-67,1.6341e-16,4.264e-09,9.6222e-08,0.99618,1.586e-40,0.0038152,1.392e-121
1.8064e-265,1.4969e-43,1,3.9709e-13,1.1994e-08,1.7709e-23,9.0072e-111,1.487e-13
0.00065678,0.89904,2.6858e-128,1.5886e-287,0.063835,2.3667e-94,0.036471,2.9569e-82
5.9996e-35,9.098e-102,0.99997,3.0241e-05,7.0394e-40,1.1757e-60,2.496e-23,5.7877e-88
9.85e-182,0.56083,2.0858e-36,3.3297e-230,0.43915,2.0949e-122,1.6828e-05,0
2.1244e-09,8.7274e-06,7.55e-120,0.99999,1.1785e-128,1.76e-08,1.6141e-130,2.1049e-23
1,4.3876e-37,2.1997e-47,1.8259e-44,5.1983e-14,8.5676e-149,7.1806e-18,3.1994e-08
1.0746e-38,6.2779e-127,2.715e-11,0,6.2335e-90,0,1,2.2755e-59
0.00015185,6.4128e-84,3.4067e-85,2.9538e-228,0.99985,1.4686e-94,9.1719e-287,3.8255e-24
2.5393e-90,7.7578e-26,1.454e-142,1.6552e-93,1,5.9149e-182,8.5569e-84,4.796e-17
1.8553e-87,2.6072e-14,8.6433e-97,5.2766e-278,3.0375e-61,1.049e-54,1.3668e-277,1
8.9141e-20,0.1546,0.8454,5.9945e-46,5.0089e-171,3.6226e-136,2.2357e-33,1.599e-78
2.1316e-24,2.9646e-14,1,1.0432e-183,2.6446e-117,1.8818e-137,1.3272e-103,2.038e-124
0.99999,9.5866e-194,7.7929e-12,2.0255e-11,1.1739e-05,7.4547e-13,1.7487e-214,3.9743e-101
3.0432e-07,1,5.0459e-76,4.8412e-180,9.6839e-49,6.2593e-24,2.1792e-68,2.4911e-76
0.99846,8.3268e-155,4.3237e-51,4.4379e-64,0.0015083,2.566e-66,3.5594e-05,3.1e-29
